"RunID","BASE_CURRENCY_ID","BRANCH_ID","BRN","DATE_LAST_MODIFIED","EDITION","FEDERAL_NUMBER","FISCAL_CALENDAR_ID","FULL_NAME","ISINACTIVE","IS_ELIMINATION","IS_MOSS","LEGAL_ENTITY_ACCOUNT_CODE","LEGAL_NAME","MOSS_NEXUS_ID","NAME","PARENT_ID","PURCHASEORDERAMOUNT","PURCHASEORDERQUANTITY","PURCHASEORDERQUANTITYDIFF","RECEIPTAMOUNT","RECEIPTQUANTITY","RECEIPTQUANTITYDIFF","STATE_TAX_NUMBER","SUBSIDIARY_EXTID","SUBSIDIARY_ID","TRAN_NUM_PREFIX","UEN","URL","CURRENCY"
"236","1",,,"2016-01-03 20:34:14","US",,"2","Scholastic Inc.","No","No","No","US00","Scholastic Inc (QA/UAT)",,"Scholastic Inc.",,,,,,,,,,"1","US00",,"www.scholastic.com","US Dollar"
"236","11",,,"2015-08-19 00:35:16","XX","03307638","2","Scholastic Inc. : Scholastic Asia : Grolier Taiwan","No","No","No","TW00","Grolier International, Inc., Taiwan Branch",,"Grolier Taiwan","2",,,,,,,,,"10","TW",,,"Taiwan Dollar"
"236","1",,,"2014-05-26 04:29:41","US",,"2","Scholastic Inc. : Elimination Scholastic Inc.","No","Yes","No",,,,"Elimination Scholastic Inc.","1",,,,,,,,,"11","E-SI",,,"US Dollar"
"236","1",,,"2014-05-26 04:30:10","US",,"2","Scholastic Inc. : Scholastic Asia : Elimination Scholastic Asia","No","Yes","No",,,,"Elimination Scholastic Asia","2",,,,,,,,,"12","E-SA",,,"US Dollar"
"236","12",,,"2015-08-19 00:35:46","XX","21542679","2","Scholastic Inc. : Scholastic Asia : Hong Kong Home Office","No","No","No","HK01","Hong Kong Home Office",,"Hong Kong Home Office","2",,,,,,,,,"13","HK01",,,"Hong Kong Dollar"
"236","9",,,"2015-08-19 00:34:44","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines - Finance","No","No","No","PH01",,,"Grolier Philippines - Finance","2",,,,,,,,,"14","PH01",,,"Philippine Peso"
"236","10",,,"2014-11-12 15:49:14","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier India : Elimination Grolier India","No","Yes","No",,,,"Elimination Grolier India","9",,,,,,,,,"15","E-IN",,,"Indian Rupee"
"236","8",,,"2014-11-12 15:53:50","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Indonesia : Elimination Grolier Indonesia","No","Yes","No",,,,"Elimination Grolier Indonesia","7",,,,,,,,,"16","E-ID",,,"Indonesian Rupiah"
"236","5",,,"2014-11-12 15:59:12","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Malaysia : Elimination Grolier Malaysia","No","Yes","No",,,,"Elimination Grolier Malaysia","3",,,,,,,,,"17","E-MY",,,"Malaysian Ringgit"
"236","9",,,"2014-11-12 16:00:59","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines : Elimination Grolier Philippines","No","Yes","No",,,,"Elimination Grolier Philippines","8",,,,,,,,,"18","E-PH",,,"Philippine Peso"
"236","9",,,"2014-11-12 16:03:17","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines - Finance : Elimination Grolier Philippines - Finance","No","Yes","No",,,,"Elimination Grolier Philippines - Finance","14",,,,,,,,,"19","E-PHF",,,"Philippine Peso"
"236","1",,,"2015-08-19 00:32:39","US",,"2","Scholastic Inc. : Scholastic Asia","No","No","No",,"Scholastic Asia",,"Scholastic Asia","1",,,,,,,,,"2","SA",,,"US Dollar"
"236","6",,,"2014-11-12 16:06:23","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Singapore : Elimination Grolier Singapore","No","Yes","No",,,,"Elimination Grolier Singapore","5",,,,,,,,,"20","E-SG",,,"Singapore Dollar"
"236","11",,,"2014-11-12 16:07:49","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Taiwan : Elimination Grolier Taiwan","No","Yes","No",,,,"Elimination Grolier Taiwan","10",,,,,,,,,"21","E-TW",,,"Taiwan Dollar"
"236","7",,,"2014-11-12 16:09:43","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Thailand : Elimination Grolier Thailand","No","Yes","No",,,,"Elimination Grolier Thailand","6",,,,,,,,,"22","E-TH",,,"Thailand Baht"
"236","6",,,"2014-11-12 16:12:51","XX",,"2","Scholastic Inc. : Scholastic Asia : Scholastic Education International (Singapore) Pte Ltd : Elimination SEIS","No","Yes","No",,,,"Elimination SEIS","4",,,,,,,,,"23","E-SE",,,"Singapore Dollar"
"236","12",,,"2014-11-26 12:11:08","XX",,"2","Scholastic Inc. : Scholastic Asia : Hong Kong Home Office : Elimination Hong Kong Home Office","No","Yes","No",,,,"Elimination Hong Kong Home Office","13",,,,,,,,,"24","E-HK01",,,"Hong Kong Dollar"
"236","12",,,"2015-08-19 00:36:18","XX",,"2","Scholastic Inc. : Scholastic Asia : Scholastic Hong Kong Limited","No","No","No","HK00",,,"Scholastic Hong Kong Limited","2",,,,,,,,,"25","SHK",,,"Hong Kong Dollar"
"236","12",,,"2015-01-12 06:18:27","XX",,"2","Scholastic Inc. : Scholastic Asia : Scholastic Hong Kong Limited : Elimination Scholastic Hong Kong Limited","No","Yes","No",,"Elimination Scholastic Hong Kong Limited",,"Elimination Scholastic Hong Kong Limited","25",,,,,,,,,"26","E-SHK",,,"Hong Kong Dollar"
"236","13",,,"2015-12-08 11:36:07","XX","11-306-810","2","Scholastic Inc. : Scholastic New Zealand Limited","No","No","No","NZ00","Scholastic New Zealand Limited",,"Scholastic New Zealand Limited","1",,,,,,,,,"27",,,"www.scholastic.co.nz","New Zealand Dollar"
"236","5",,,"2015-08-19 00:33:57","XX","000011403264","2","Scholastic Inc. : Scholastic Asia : Grolier Malaysia","No","No","No","MY00","5000 Kuala Lumpur",,"Grolier Malaysia","2",,,,,,,,,"3","MY00",,"www.scholastic.com","Malaysian Ringgit"
"236","6",,,"2015-08-19 00:36:04","XX","201113564G","2","Scholastic Inc. : Scholastic Asia : Scholastic Education International (Singapore) Pte Ltd","No","No","No","SG00","Scholastic Education International (Singapore) Pte Ltd",,"Scholastic Education International (Singapore) Pte Ltd","2",,,,,,,,,"4","SG00",,"www.scholastic.com","Singapore Dollar"
"236","6",,,"2015-08-19 00:35:01","XX","S66FC1796D","2","Scholastic Inc. : Scholastic Asia : Grolier Singapore","No","No","No","SG01","Grolier International Inc.,  Singapore Branch",,"Grolier Singapore","2",,,,,,,,,"5","SG01",,"www.scholastic.com","Singapore Dollar"
"236","7",,,"2015-08-19 00:35:30","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Thailand","No","No","No","TH00","Grolier International, Inc., Thailand Branch",,"Grolier Thailand","2",,,,,,,,,"6","TH00",,,"Thailand Baht"
"236","8",,,"2015-08-19 00:33:41","XX","013075262021000","2","Scholastic Inc. : Scholastic Asia : Grolier Indonesia","No","No","No","ID00","P.T. Widyadara",,"Grolier Indonesia","2",,,,,,,,,"7","ID00",,,"Indonesian Rupiah"
"236","9",,,"2015-08-19 00:34:14","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines","No","No","No","PH00","Grolier International, Inc., Philippine Branch",,"Grolier Philippines","2",,,,,,,,,"8","PH00",,,"Philippine Peso"
"236","10",,,"2015-08-19 00:33:21","XX","07510385718","2","Scholastic Inc. : Scholastic Asia : Grolier India","No","No","No","IN01","Grolier International Private Limited",,"Grolier India","2",,,,,,,,,"9","IN01",,,"Indian Rupee"